seq,ecological domination
"A nationwide survey conducted in 2018 revealed that 29 percent of the country’s rivers and lakes exhibited poor water quality.2 Recognizing these risks, the government has developed national strategies for environmental protection and sustainable development.",0.43515513160011987
"China is actively promoting ecosystem restoration3 and biodiversity conservation, as evidenced by its presiding role in the fifteenth Conference of the Parties (COP-15) Convention on Biological Diversity (CBD) in 2022.",0.6157044930891558
"These include: (a) provisioning of water, food, and other products critical to society; (b) supporting aquatic, riparian and terrestrial biodiversity; and (c) carbon sequestration and protection from climate-exacerbated natural disasters.",0.03281816569241611
“Characterizing the River Water Quality in China: Recent Progress and On-going Challenges.” Water Research 201: 117309.,0.1637361483140425
"3 Restoration can be defined as the process of halting and reversing degradation, resulting in improved ecosystem services, and recovered biodiversity.",0.7629438747059215
Scaling Up Ecosystem Restoration Finance: A Stocktake Report (English).,0.7919829108498313
"For the purposes of this Program, a series of domestic and international technical standards will be applied to verify whether restoration has taken place.",0.6567608226429332
 The World Bank China: Yellow River Basin Ecological Protection and Environmental Pollution Control Program (Gansu and Shandong) (P178401) 4.,0.8244791897860441
"Consequently, water security is becoming increasingly vulnerable in China, particularly in the northern and northwestern regions where available water is anticipated to decrease by up to 24 percent by 2050.5 Water security serves as a foundation for essential ecosystem services, particularly in water-scarce river basins such as the Yellow River Basin (YRB).",0.5322382666847922
"As a result, water conservation and ecosystem restoration have become crucial tasks in river basin management throughout China.",0.752958211031827
"7 Recognizing these important factors, China officially announced the Yellow River Basin’s ecological protection and high-quality development as one of its national strategies.",0.7403127496892755
"Water scarcity, coupled with competing development-related demands on natural resources, poses a serious challenge to the inclusive and sustainable development of the YRB.",0.7987485365434126
"Estimates by the Ministry of Water Resources (MWR) suggest that the river’s natural annual flows have decreased significantly, with the 2001–2015 annual average being 25 percent lower than that in 1956–1979.9 In addition, the water resources development and utilization rate – the ratio of total water use to total water resources in a river basin or region – has reached 80 percent, significantly exceeding the nationally determined sustainable utilization threshold of 40 percent.10 5 Mo, Xing-Guo, Shi Hua, Zhong-Hui Lin, Su-Xia Liu, and Jun Xia.",0.18842703645879572
8 Ministry of Water Resources.,0.14841143651442093
9 Ministry of Water Resources.,0.0974042523990978
  The World Bank China: Yellow River Basin Ecological Protection and Environmental Pollution Control Program (Gansu and Shandong) (P178401) 7.,0.8237268274480646
"Ecosystem degradation is a multidimensional problem, demanding cross-sectoral integrated land and water resource management solutions at the basin level.",0.8514378287575461
"After devastating floods occurred in several major river basins – including the Yangtze River Basin and the Yellow River Basin – in the late 1990s, the Government successfully initiated six key forestry and “Grain for Green” conservation programs as the core of the “National Ecological Restoration Plan” to address the soil and water erosion issues.",0.8359445225108754
"These programs increased the country’s forest area significantly and provided biodiversity, carbon sequestration, and recreational benefits.",0.3822032321583141
"However, without integrated planning, restoration outcomes could be undermined by persistent degradation drivers, such as unchecked pollution and competition for limited water.",0.857352690263228
"For example, water use for revegetation in the Loess Plateau is reportedly reaching the upper limit for water resource sustainability.13 An integrated landscape approach, as reflected in the official technical guidance on the ‘Mountain-River-Forest-Farmland-Lake-Grassland-Desert” approach jointly issued in 2020 by the Ministry of Natural Resources (MNR), the Ministry of Finance (MOF) and the Ministry of Ecology and Environment (MEE), attempts to optimize the spatial interventions and interactions among a range of land cover types, institutions, and human activities in watersheds.",0.8260133916681464
"This helps to balance sectoral priorities and the competing demands on land and water resources, and enhancing ecosystem services.",0.8598694367842241
"Acknowledging the trade-offs and the competing demands on scarce water resources for both ecosystem preservation and transitioning to a high-quality development path, China's declaration of a national strategy of Yellow River Basin Ecological Protection and High-Quality Development (YRB EP&HQD) in 2019 underscores the significance of integrated ecosystem restoration and protection.",0.8635912808504972
"The national strategy for YRB EP&HQD was followed by a national YRB EP&HQD Plan (hereafter referred to as ‘the YRB Plan’) issued in 2021, which is an overarching document that provides the guiding principles, emphasized ecological protection as a pre-requisite for high-quality development in the YRB.",0.7963125055486505
"A national Leadership Group, headed by the Vice Premier and housed in the National Development and Reform Commission (NDRC), was established at the same time to coordinate cross-sector and inter- jurisdictional issues for implementing the YRB Plan.",0.40277914567427203
" The World Bank China: Yellow River Basin Ecological Protection and Environmental Pollution Control Program (Gansu and Shandong) (P178401) implementing provincial plans (including various sectoral plans), and municipal and county governments are responsible for implementing programs and activities at the local level.",0.8525031696666371
"The country’s 14th Five-Year Plan (FYP) for National Economic and Social Development 2021-2025 and its Long-term Vision for 2035, both announced in 2021, set ecological protection, natural resource management, and climate change adaptation as top national priorities.",0.8179574446244673
"The Yellow River Protection Law was approved by the National Congress in October 2022, further providing the legislative foundation for implementing the YRB plan.",0.8601030869917436
"The World Bank-supported Yellow River Basin Ecological Protection and Environmental Pollution Control Program (P172806) invests in the middle reaches of the YRB in Henan and Shaanxi provinces (hereafter referred to as YRB-HS), and has water scarcity as its primary focus.",0.8848073265769265
"Approved in March 2022, YRB-HS supports activities to strengthen water use efficiency, water pollution control, and ecosystem management in selected areas in Henan and Shaanxi for better natural resource economy - ecosystem tradeoffs and minimum cumulative impacts on water use in a water-scarce context.",0.8901034268465909
"This is done through determining the basin- and province-level water balance across water consumption (evapo-transpiration, ET), environmental capacity (EC) and ecosystem services (i.e., the “ET-EC-ES” approach).",0.8209715756503019
The water balance serves as the foundation for identifying and prioritizing sectoral interventions so that water demand for development does not exceed the water thresholds and encourages and incentivizes approaches and investments that optimize water efficiency.,0.9306258288296786
"Besides the provincial Programs, YRB-HS also has a basin level program (with US$1.5 million from the World Bank loan) to support the national entity, the Yellow River Conservancy Commission (YRCC), for cross-province coordination and management of water resources in the YRB.",0.8989205793900923
"The basin-level program will assist YRCC to develop: (a) monitoring capacity; (b) improved knowledge of the relationship among water withdrawal, water drainage and water consumption; (c) technical guidelines for monitoring water consumption based on remote sensing in the YRB; and (d) basin-wide capacity building.",0.8423572887073864
"The proposed Yellow River Basin Ecological Protection and Environmental Pollution Control Program (Gansu and Shandong) will geographically expand the World Bank-supported YRB Program area upstream to the fragile loess ecosystems in Gansu Province, and downstream to the river delta wetland ecosystems in Shandong Province (hereafter referred to as YRB-GS).",0.7576084136962891
 The World Bank China: Yellow River Basin Ecological Protection and Environmental Pollution Control Program (Gansu and Shandong) (P178401) 12.,0.7854408784346147
"In this context, the proposed YRB-GS deepens efforts to address water scarcity and water pollution while simultaneously aiming to address the drivers of ecosystem degradation, and to restore and protect key ecosystems in the two provinces.",0.8555175607854669
"Although provinces across the YRB are confronted with a shared set of development challenges centered around water scarcity, the most heightened competition for limited water resources arises in the middle reach due to the expansion of irrigation, whereas critical ecosystems in the upper and lower reaches provide crucial basin functions and biodiversity benefits.",0.03005092523314736
"Building on YRB-HS’ primary focus on tackling water scarcity and pollution issues to address the water needs for ecosystems, YRB-GS takes a broader approach by not only addressing water scarcity and pollution but also by placing an emphasis on the protection of vulnerable loess ecosystems in the upper reaches and wetland ecosystems in the lower reaches.",0.6733474731445312
"Under YRB-GS, the ET-EC-ES approach established under YRB- HS will continue to be utilized to evaluate the effects of ecosystem restoration activities on water scarcity and to inform integrated and cross-sector planning and decision-making for ecosystem restoration.",0.8037867979569868
"This ensures that the ecosystem restoration outcomes remain sustainable, especially considering the constraints imposed by limited water resources and poor water quality.",0.793659817088734
"In addition, YRB-GS adopts a landscape approach to identify priority ecosystems for restoration through integrated landscape assessments and spatial prioritization.",0.7084298567338423
"Evolution from YRB-HS to YRB-GS YRB-HS aims to strengthen integrated water use efficiency, water pollution control, and ecosystem management in selected regions in the middle reach of the Yellow River Basin in Henan and Shaanxi Provinces.",0.8853457190773704
It adopts the ET-EC-ES approach to incorporate water quantity and quality constraints into ecosystem management.,0.8560915860262784
YRB-HS contains a basin-level Program to provide technical guidance and coordination in cross-province water allocation and basin-wide balance.,0.8638896942138672
"For ecosystem restoration, the primary focus was only to restore basic biophysical conditions (vegetation and topography for erosion control) without ecological assessment or prioritization at the landscape scale.",0.5786953839388761
YRB-GS further expands the World Bank’s engagement in the YRB to fragile and globally significant ecosystems upstream to Gansu Province and downstream to Shandong Province.,0.4158887429670854
"While it will continue to address water scarcity, water pollution and other drivers of ecosystem degradation, YRB-GS emphasizes the restoration of degraded ecosystems.",0.42636429179798474
"Built on the ET-EC-ES approach, YRB-GS further identifies priority ecosystems for restoration through landscape ecosystem assessments and spatial prioritization.",0.8051363338123668
"YRB-GS’ focus on ecosystem restoration and protection will improve climate adaptation and mitigation as well as biodiversity conservation outcomes in its Program area and benefit other YRB provinces, as well as be of global benefit.",0.6240859465165571
"14 Afforestation activities in the YRB could potentially increase carbon stock by an additional 59.5 million tons.15 Restoring and protecting river estuary and coastal zones, such as seagrass meadows, also contributes to increasing blue carbon functions.",0.039769668470729484
"Restored riparian, aquatic, and coastal ecosystems also provide ecosystem services through filtration, and contribute to mitigating pollution, especially from non-point sources such as agricultural fertilizer.",0.6368816549127753
"Investments in nature-based solutions, such as riparian woodlands, can improve both water storage and flood resilience.",0.4492798718539151
"Integrated landscape planning would prepare communities that are 14 For instance, it was estimated that soil conservation under the YRB’s “Grain for Green” program sequestered 9.7 million tons of carbon each year from 2000 to 2015 by restoring plants and soils in the Basin.",0.7998294830322266
(2018) Effective soil erosion control represents a significant net carbon sequestration.,0.799192255193537
(2022) The potential for carbon sequestration by afforestation can be limited in dryland river basins under the pressure of high human activity.,0.5800223350524902
 The World Bank China: Yellow River Basin Ecological Protection and Environmental Pollution Control Program (Gansu and Shandong) (P178401) under an increasing risk of environmental degradation and natural and climate disasters with the capacity for ecological and climate sensitive land and water management.,0.8381378000432794
"The proposed Program is closely aligned with the World Bank Group’s Country Partnership Framework (CPF) for China (FY2020-2025, Report No117875-CN) which was discussed by the World Bank Board of Executive Directors on  and the Evolution Roadmap.",0.8712499791925604
"The Program supports CPF Engagement Area Two: Promoting Greener Growth, by promoting ecosystem restoration and protection, strengthening sustainable natural resources management, enhancing incentives and institutional coordination for ecosystem management, reducing water pollution, and tackling the issues of soil erosion and salinization.",0.839124159379439
"The proposed Program is also closely aligned with the Green, Resilient, and Inclusive Development (GRID) framework and the Climate Change Action Plan 2021 –2025 and builds on the recommendations of the China Country Climate and Development Report (CCDR) by promoting climate mitigation strategies, increasing resilience to climate change threats, and promoting inclusive economic opportunities.",0.8231333819302645
"16 The proposed Program is also aligned with the World Bank Evolution Roadmap, which highlights that urgent action is needed to address growing global challenges, including forest and biodiversity loss as well as climate change, thus contributing to the World Bank’s Global Challenge Program on Forest for Development, Climate and Biodiversity.",0.8152732849121094
"The Program also supports restoration of river and lake ecosystems as well as reducing water pollution from improved wastewater management, thus is also fully aligned with the Global Challenge Program on Water Security and Climate Adaptation.",0.8537294214422052
"The Program is expected to make a significant contribution to global public goods including climate mitigation and adaptation, biodiversity conservation, and knowledge for development.",0.5172015103426847
"The Program will contribute to increased carbon sequestration through the expansion of nature-based solutions, specifically restoration/enhancement of carbon-rich ecosystems (including wetlands, forests, and grasslands) and soil conservation.",0.7853299921209161
"Through support for efforts to improve wastewater management, the Program will also reduce GHG emissions, including fugitive methane emissions.",0.8509524952281605
"Integrated landscape approaches targeting the interconnected challenges of climate change, ecosystem degradation, biodiversity loss, and pollution will identify good practices for scale-up across the basin, China, and beyond.",0.1876762346787886
Lessons and knowledge generated by the Program are expected to be relevant for other arid countries or regions grappling with trade offs between development and ecosystem resilience/protection.,0.832988132130016
"China has put several climate commitments in place, including its commitment to peak its carbon emissions by 2030 and achieve carbon neutrality by 2060 (30-60 goal), a Long-Term Strategy for Low GHG Emission Development, and the National Climate Change Adaptation Strategy 2035, to implement actions that address climate change mitigation and adaptation as outlined in its Nationally Determined Contribution.",0.8042965802279386
"The Nationally Determined Contribution highlights cross-sector coordination and carbon sequestration for climate change mitigation by key ecosystems, including forests, grasslands, and wetlands.",0.7437067031860352
" The World Bank China: Yellow River Basin Ecological Protection and Environmental Pollution Control Program (Gansu and Shandong) (P178401) 60 goal, the Long-Term Strategy commits to increasing the forest stock volume by 6 billion cubic meters from the 2005 level by 2030.",0.7973591197620739
"The National Climate Change Adaptation Strategy highlighted the role of nature-based solutions in climate change adaptation, such as forest and wetland restoration, as well as actions to enhance soil and water conservation and wastewater management in small rural towns.",0.7138295607133345
